"review_order","source_row","decision_approve_edit_move_reject","native_russian_correction","english_correction","level","register_note","sensitive_content_note","reviewer_comment","russian","transliteration","english","category"
"61","591","","","","","","","","Но как они могут это сделать?","No kak oni mogut eto sdelat?","But how can they do this?","Questions & Answers"
"62","592","","","","","","","","В какое время он будет здесь?","V kakoe vremya on budet zdes?","What time will he be here?","Questions & Answers"
"63","593","","","","","","","","А потом, что ты сделал потом?","A potom, chto ty sdelal potom?","And then, what did you do?","Fluency Builder 2"
"64","594","","","","","","","","Во сколько мне надо там быть?","Vo skolko mne nado tam byt?","What time shall I be there?","Questions & Answers"
"65","597","","","","","","","","Как ты можешь так много есть?","Kak ty mozhesh tak mnogo est?","How can you eat so much?","Questions & Answers"
"66","599","","","","","","","","Что мы можем от тебя ожидать?","Chto my mozhem ot tebya ozhidat?","What can we expect from you?","Fluency Builder 2"
"67","602","","","","","","","","Ты нашёл всё, что тебе нужно?","Ty nashyol vsyo, chto tebe nuzhno?","Did you find everything you need?","Thoughts, Needs & Feelings"
"68","606","","","","","","","","Как скоро я могу их встретить?","Kak skoro ya mogu ikh vstretit?","How soon can I meet them?","Questions & Answers"
"69","607","","","","","","","","Что ты можешь для нас сделать?","Chto ty mozhesh dlya nas sdelat?","What can you do for us?","Fluency Builder 2"
"70","609","","","","","","","","Как ты можешь жить без музыки?","Kak ty mozhesh zhit bez muzyki?","How can you live without music?","Questions & Answers"
"71","613","","","","","","","","Где я могу проявить эти снимки?","Gde ya mogu proyavit eti snimki?","Where can I develop these photos?","Questions & Answers"
"72","614","","","","","","","","Ты понял, что он хочет сказать?","Ty ponyal, chto on khochet skazat?","Did you understand what he meant?","Fluency Builder 2"
"73","615","","","","","","","","Знаешь, что я только что понял?","Znaesh, chto ya tolko chto ponyal?","You know what I just realized?","Fluency Builder 2"
"74","616","","","","","","","","Хорошо, чем я могу тебе помочь?","Khorosho, chem ya mogu tebe pomoch?","OK, how can I help you?","Questions & Answers"
"75","619","","","","","","","","Что же ты только сейчас пришёл?","Chto zhe ty tolko seychas prishyol?","Why have you come only now?","Questions & Answers"
"76","623","","","","","","","","Я могу узнать, где вы работаете?","Ya mogu uznat, gde vy rabotaete?","Can I know where you work?","Questions & Answers"
"77","625","","","","","","","","Ты можешь на завтра отгул взять?","Ty mozhesh na zavtra otgul vzyat?","Can you get off work tomorrow?","Work & Daily Tasks"
"78","643","","","","","","","","Что, если я потеряю его навсегда?","Chto, esli ya poteryayu ego navsegda?","What if I lose him forever?","Fluency Builder 2"
"79","645","","","","","","","","Где я могу оставить мой велосипед?","Gde ya mogu ostavit moy velosiped?","Where can I leave my bicycle?","Questions & Answers"
"80","646","","","","","","","","Ты только что назвал меня толстой?","Ty tolko chto nazval menya tolstoy?","Did you just call me fat?","Fluency Builder 2"
"81","653","","","","","","","","Где мы можем взять напрокат лодку?","Gde my mozhem vzyat naprokat lodku?","Where can we rent a boat?","Questions & Answers"
"82","655","","","","","","","","Мы можем себе позволить это купить?","My mozhem sebe pozvolit eto kupit?","Can we afford to buy that?","Shopping & Money"
"83","656","","","","","","","","Ты видел, что только что случилось?","Ty videl, chto tolko chto sluchilos?","Did you see what just happened?","Fluency Builder 2"
"84","657","","","","","","","","Где вы сегодня вечером будете есть?","Gde vy segodnya vecherom budete est?","Where will you eat this evening?","Questions & Answers"
"85","659","","","","","","","","Господи, что я только что прочитал?","Gospodi, chto ya tolko chto prochital?","God, what did I just read?","Fluency Builder 2"
"86","662","","","","","","","","Как я могу изменить это предложение?","Kak ya mogu izmenit eto predlozhenie?","How can I change this sentence?","Questions & Answers"
"87","667","","","","","","","","Ты можешь прочесть, что там написано?","Ty mozhesh prochest, chto tam napisano?","Can you read what that says?","Fluency Builder 2"
"88","673","","","","","","","","Как мы можем купить британские товары?","Kak my mozhem kupit britanskie tovary?","How can we buy British goods?","Questions & Answers"
"89","676","","","","","","","","Можно мне сегодня домой пораньше уйти?","Mozhno mne segodnya domoy poranshe uyti?","Can I go home early today?","Home & Family Life"
"90","678","","","","","","","","Кто знает, что может случиться завтра?","Kto znaet, chto mozhet sluchitsya zavtra?","Who knows what might happen tomorrow?","Time & Plans"
"91","681","","","","","","","","Вы можете объяснить, как это произошло?","Vy mozhete obyasnit, kak eto proizoshlo?","Can you explain how this happened?","Questions & Answers"
"92","682","","","","","","","","На сколько вопросов вы можете ответить?","Na skolko voprosov vy mozhete otvetit?","How many questions can you answer?","Questions & Answers"
"93","1336","","","","","","","","Кто был у тебя на уме?","Kto byl u tebya na ume?","Who did you have in mind?","Fluency Builder 3"
"94","1338","","","","","","","","Что бы я без тебя делал?","Chto by ya bez tebya delal?","What would I do without you?","Fluency Builder 3"
"95","1343","","","","","","","","Что бы ты на это сказала?","Chto by ty na eto skazala?","What would you say to that?","Fluency Builder 3"
"96","1344","","","","","","","","Получу ли я то, что хочу?","Poluchu li ya to, chto khochu?","Will I get what I want?","Thoughts, Needs & Feelings"
"97","1350","","","","","","","","Ну что, ты ему уже сказал?","Nu chto, ty emu uzhe skazal?","So, have you told him yet?","Fluency Builder 3"
"98","1354","","","","","","","","У нас есть всё, что нужно?","U nas est vsyo, chto nuzhno?","Do we have everything we need?","Thoughts, Needs & Feelings"
"99","1360","","","","","","","","Кто дал вам все эти деньги?","Kto dal vam vse eti dengi?","Who gave you all that money?","Shopping & Money"
"100","1361","","","","","","","","Что ты хочешь, кофе или чай?","Chto ty khochesh, kofe ili chay?","Would you like coffee or tea?","Food & Restaurants"
"101","1363","","","","","","","","Да, я его поцеловала. И что?","Da, ya ego potselovala. I chto?","Yes, I kissed him. So what?","Fluency Builder 3"
"102","1367","","","","","","","","А что, если проблема в тебе?","A chto, esli problema v tebe?","What if the problem is you?","Fluency Builder 3"
"103","1369","","","","","","","","Что за книгу ты вчера читал?","Chto za knigu ty vchera chital?","What book were you reading yesterday?","Time & Plans"
"104","1370","","","","","","","","В чём Вы были вчера вечером?","V chyom Vy byli vchera vecherom?","What did you wear last night?","Time & Plans"
"105","1375","","","","","","","","Вы скажете ей, что я звонил?","Vy skazhete ey, chto ya zvonil?","Will you tell her I called?","Fluency Builder 3"
"106","1385","","","","","","","","Ты видел, кто в тебя стрелял?","Ty videl, kto v tebya strelyal?","Did you see who shot you?","Fluency Builder 3"
"107","1390","","","","","","","","Доброе утро, я вам не помешал?","Dobroe utro, ya vam ne pomeshal?","Good morning, am I disturbing you?","Fluency Builder 3"
"108","1391","","","","","","","","Что это они тут делают вместе?","Chto eto oni tut delayut vmeste?","What are they doing here together?","Fluency Builder 3"
"109","1393","","","","","","","","Знаете, что сводит меня с ума?","Znaete, chto svodit menya s uma?","You know what drives me crazy?","Fluency Builder 3"
"110","1397","","","","","","","","Кто может такое о себе сказать?","Kto mozhet takoe o sebe skazat?","Who can say that about themselves?","Fluency Builder 3"
"111","1402","","","","","","","","Что за фильм вы вчера смотрели?","Chto za film vy vchera smotreli?","Which movie did you watch yesterday?","Time & Plans"
"112","1406","","","","","","","","Кто здесь был в моё отсутствие?","Kto zdes byl v moyo otsutstvie?","Who was here in my absence?","Fluency Builder 3"
"113","1413","","","","","","","","Кто сказал, что у меня свидание?","Kto skazal, chto u menya svidanie?","Who said I had a date?","Fluency Builder 3"
"114","1425","","","","","","","","С кем ты только что разговаривал?","S kem ty tolko chto razgovarival?","Who were you just speaking to?","Fluency Builder 3"
"115","2439","","","","","","","","Кто мне может это объяснить?","Kto mne mozhet eto obyasnit?","Who's able to explain this to me?","Fluency Builder 5"
"116","1447","","","","","","","","Так что вы делаете сегодня вечером?","Tak chto vy delaete segodnya vecherom?","So, what are you doing tonight?","Time & Plans"
"117","1453","","","","","","","","Вы можете повторить то, что сказали?","Vy mozhete povtorit to, chto skazali?","Can you repeat what you said?","Fluency Builder 3"
"118","1456","","","","","","","","Мы можем поработать над этим сейчас?","My mozhem porabotat nad etim seychas?","Can we work on that now?","Work & Daily Tasks"
"119","1459","","","","","","","","Что бы вы посоветовали нам заказать?","Chto by vy posovetovali nam zakazat?","What do you recommend we order?","Fluency Builder 3"
"120","1462","","","","","","","","Что это будет означать для Эдинбурга?","Chto eto budet oznachat dlya Edinburga?","What will this mean for Edinburgh?","Fluency Builder 3"
"121","1463","","","","","","","","Это то, чего ты действительно хочешь?","Eto to, chego ty deystvitelno khochesh?","Is that what you really want?","Thoughts, Needs & Feelings"
"122","1502","","","","","","","","Что вы будете делать завтра вечером?","Chto vy budete delat zavtra vecherom?","What'll you do tomorrow night?","Time & Plans"
"123","163","","","","","","","","Ты можешь дать мне договорить, пожалуйста?","Ty mozhesh dat mne dogovorit, pozhaluysta?","Can you please let me finish speaking?","Core Social Language"
"124","3467","","","","","","","","Прости, что был с тобой груб.","Prosti, chto byl s toboy grub.","I'm sorry I was rude to you.","Core Social Language"
"125","494","","","","","","","","Вы не позвоните мне сегодня вечером?","Vy ne pozvonite mne segodnya vecherom?","Will you please call me this evening?","Core Social Language"
"126","566","","","","","","","","Могу я сделать телефонный звонок, пожалуйста?","Mogu ya sdelat telefonnyy zvonok, pozhaluysta?","Can I make a telephone call, please?","Core Social Language"
"127","3976","","","","","","","","Прости, у меня сейчас руки заняты.","Prosti, u menya seychas ruki zanyaty.","Sorry, I've got my hands full now.","Core Social Language"
"128","4292","","","","","","","","Прости, что так часто тебя беспокою.","Prosti, chto tak chasto tebya bespokoyu.","I'm sorry to bother you so often.","Core Social Language"
"129","1292","","","","","","","","Вы назовете мне свое имя, пожалуйста?","Vy nazovete mne svoe imya, pozhaluysta?","Will you give me your name, please?","Core Social Language"
"130","4298","","","","","","","","Пожалуйста, не говори никому, где я.","Pozhaluysta, ne govori nikomu, gde ya.","Please don't tell anyone where I am.","Core Social Language"
"131","1307","","","","","","","","Ты не передашь мне чемодан, пожалуйста?","Ty ne peredash mne chemodan, pozhaluysta?","Would you hand me the suitcase, please?","Core Social Language"
"132","1312","","","","","","","","Можно взглянуть на ваш посадочный талон?","Mozhno vzglyanut na vash posadochnyy talon?","May I see your boarding pass, please?","Core Social Language"
"133","1320","","","","","","","","Извините, есть ли здесь поблизости туалет?","Izvinite, est li zdes poblizosti tualet?","Excuse me, is there a toilet nearby?","Core Social Language"
"134","2825","","","","","","","","Вы что, оба не в себе?","Vy chto, oba ne v sebe?","Have you both lost your minds?","Fluency Builder 6"
"135","2830","","","","","","","","Что в этом для вас было?","Chto v etom dlya vas bylo?","What was in it for you?","Fluency Builder 6"
"136","2832","","","","","","","","Что у нас будет на ужин?","Chto u nas budet na uzhin?","What are we eating for dinner?","Food & Restaurants"
"137","2836","","","","","","","","Могу я сесть рядом с ним?","Mogu ya sest ryadom s nim?","Can I sit next to him?","Home & Family Life"
"138","2837","","","","","","","","Что бы ты в себе изменил?","Chto by ty v sebe izmenil?","What would you change about yourself?","Fluency Builder 6"
"139","2841","","","","","","","","А у меня был другой выбор?","A u menya byl drugoy vybor?","What other choice did I have?","Fluency Builder 6"
"140","2842","","","","","","","","Что он сказал на этот раз?","Chto on skazal na etot raz?","What did he say this time?","Fluency Builder 6"
"141","2846","","","","","","","","За что ты судишься с Дэном?","Za chto ty sudishsya s Denom?","What are you suing Dan for?","Fluency Builder 6"
"142","2851","","","","","","","","А потом во что будем играть?","A potom vo chto budem igrat?","Which game shall we play next?","Fluency Builder 6"
"143","2852","","","","","","","","Моя дочь может идти в школу?","Moya doch mozhet idti v shkolu?","Can my daughter go to school?","Fluency Builder 6"
"144","2856","","","","","","","","Эй, над чем это вы смеётесь?","Ey, nad chem eto vy smeyotes?","Hey, what are you laughing at?","Fluency Builder 6"
"145","2867","","","","","","","","Пап, а что это слово значит?","Pap, a chto eto slovo znachit?","Dad, what does this word mean?","Fluency Builder 6"
"146","2875","","","","","","","","Он пришёл к тебе с гарантией?","On prishyol k tebe s garantiey?","Did this come with a guarantee?","Fluency Builder 6"
"147","2881","","","","","","","","Ты ходил в дом с привидениями?","Ty khodil v dom s privideniyami?","Did you visit the haunted house?","Home & Family Life"
"148","2887","","","","","","","","Мы можем пойти в вашу комнату?","My mozhem poyti v vashu komnatu?","Can we go to your room?","Home & Family Life"
"149","2890","","","","","","","","Ты уверена, что всё в порядке?","Ty uverena, chto vsyo v poryadke?","Are you sure everything is okay?","Fluency Builder 6"
"150","2891","","","","","","","","Кто из вас съел мой бутерброд?","Kto iz vas sel moy buterbrod?","Which of you ate my sandwich?","Fluency Builder 6"
"151","2894","","","","","","","","Кто написал для тебя эту речь?","Kto napisal dlya tebya etu rech?","Who wrote that speech for you?","Fluency Builder 6"
"152","2901","","","","","","","","Я могу пойти поиграть на улице?","Ya mogu poyti poigrat na ulitse?","Can I go out to play?","Fluency Builder 6"
"153","2919","","","","","","","","Что привело тебя к этому выводу?","Chto privelo tebya k etomu vyvodu?","What led you to this conclusion?","Fluency Builder 6"
"154","2924","","","","","","","","Я что, сам с собой разговариваю?","Ya chto, sam s soboy razgovarivayu?","Am I just talking to myself?","Fluency Builder 6"
"155","2926","","","","","","","","Кто выбрал тебя для этой миссии?","Kto vybral tebya dlya etoy missii?","Who picked you for this mission?","Fluency Builder 6"
"156","2948","","","","","","","","Так что, хватит ли тебе смелости?","Tak chto, khvatit li tebe smelosti?","So have you got the guts?","Fluency Builder 6"
"157","2954","","","","","","","","Тебе сказали, чтобы ты так сделал?","Tebe skazali, chtoby ty tak sdelal?","Were you told to do so?","Fluency Builder 6"
"158","2961","","","","","","","","Кто рассказал тебе об этой пещере?","Kto rasskazal tebe ob etoy peshchere?","Who told you about this cave?","Fluency Builder 6"
"159","2965","","","","","","","","Давай я отвезу тебя обратно домой?","Davay ya otvezu tebya obratno domoy?","Shall I take you back home?","Home & Family Life"
"160","2971","","","","","","","","Кого ты можешь попросить о помощи?","Kogo ty mozhesh poprosit o pomoshchi?","Who can you ask for help?","Fluency Builder 6"
"161","2992","","","","","","","","Кто были первые обитатели этих мест?","Kto byli pervye obitateli etikh mest?","Who were the original people here?","Fluency Builder 6"
"162","3001","","","","","","","","Что это за вещь, называемая любовью?","Chto eto za veshch, nazyvaemaya lyubovyu?","What is this thing called love?","Fluency Builder 7"
"163","3018","","","","","","","","У тебя есть родственники за границей?","U tebya est rodstvenniki za granitsey?","Have you got any relatives abroad?","Fluency Builder 7"
"164","3030","","","","","","","","Что заставило тебя задать этот вопрос?","Chto zastavilo tebya zadat etot vopros?","What made you ask that question?","Fluency Builder 7"
"165","3034","","","","","","","","Кто оказал на тебя наибольшее влияние?","Kto okazal na tebya naibolshee vliyanie?","Who has influenced you the most?","Health & Body"
"166","3040","","","","","","","","Ты всё ещё покупаешь лотерейные билеты?","Ty vsyo eshchyo pokupaesh lotereynye bilety?","Are you still buying lottery tickets?","Shopping & Money"
"167","3055","","","","","","","","Ты можешь вернуться на следующей неделе?","Ty mozhesh vernutsya na sleduyushchey nedele?","Can you come back next week?","Time & Plans"
"168","3065","","","","","","","","Ты принял его с распростёртыми объятиями?","Ty prinyal ego s rasprostyortymi obyatiyami?","You welcomed him with open arms?","Fluency Builder 7"
"169","3091","","","","","","","","Кто бы не был здесь счастлив?","Kto by ne byl zdes schastliv?","Who wouldn't be happy here?","Fluency Builder 7"
"170","3094","","","","","","","","Означает ли это, что я умираю?","Oznachaet li eto, chto ya umirayu?","Does that mean I'm dying?","Fluency Builder 7"
"171","3109","","","","","","","","Больше никто не может это сделать?","Bolshe nikto ne mozhet eto sdelat?","Can't someone else do this?","Health & Body"
"172","4621","","","","","","","","Прости, что это заняло столько времени.","Prosti, chto eto zanyalo stolko vremeni.","I'm sorry that this took so long.","Core Social Language"
"173","3124","","","","","","","","Что вы планируете делать после выпуска?","Chto vy planiruete delat posle vypuska?","What'll you do after graduation?","Fluency Builder 7"
"174","2807","","","","","","","","Будьте добры, кто-нибудь может открыть окно?","Budte dobry, kto-nibud mozhet otkryt okno?","Can somebody open up a window, please?","Core Social Language"
"175","2823","","","","","","","","Мог бы кто-нибудь прокомментировать это предложение?","Mog by kto-nibud prokommentirovat eto predlozhenie?","Could someone please comment on this sentence?","Core Social Language"
"176","4943","","","","","","","","Ты вчера был дома, да?","Ty vchera byl doma, da?","You were at home yesterday, weren't you?","Home & Family Life"
"177","4978","","","","","","","","Вам уроки не надо делать?","Vam uroki ne nado delat?","Don't you have some homework to do?","Work & Daily Tasks"
"178","2797","","","","","","","","А теперь можно, пожалуйста, сменить тему?","A teper mozhno, pozhaluysta, smenit temu?","Now, can we please change the subject?","Core Social Language"
"179","1","","","","","","","","Ты можешь сказать мне, где я?","Ty mozhesh skazat mne, gde ya?","Can you tell me where I am?","Questions & Answers"
"180","3","","","","","","","","Что ещё вы обо мне знаете?","Chto eshchyo vy obo mne znaete?","What else do you know about me?","Fluency Builder 1"
"181","6","","","","","","","","Как ты узнала, что я здесь?","Kak ty uznala, chto ya zdes?","How did you know I was here?","Questions & Answers"
"182","7","","","","","","","","То есть мне можно уже идти?","To est mne mozhno uzhe idti?","Does this mean I can go now?","Fluency Builder 1"
"183","10","","","","","","","","Вы знаете, что он нам купил?","Vy znaete, chto on nam kupil?","Do you know what he bought us?","Shopping & Money"
"184","12","","","","","","","","Кто сказал тебе, где мой дом?","Kto skazal tebe, gde moy dom?","Who told you where my house is?","Questions & Answers"
"185","14","","","","","","","","Что будет, если я это сделаю?","Chto budet, esli ya eto sdelayu?","What will happen if I do this?","Fluency Builder 1"
"186","16","","","","","","","","Почему ты думаешь, что это он?","Pochemu ty dumaesh, chto eto on?","Why do you think this is him?","Questions & Answers"
"187","17","","","","","","","","Нам нужно ещё раз это сделать?","Nam nuzhno eshchyo raz eto sdelat?","Do we need to do that again?","Thoughts, Needs & Feelings"
"188","19","","","","","","","","Как вы думаете, мне нужно идти?","Kak vy dumaete, mne nuzhno idti?","Do you think I need to go?","Questions & Answers"
"189","20","","","","","","","","Могу я спросить, куда ты идёшь?","Mogu ya sprosit, kuda ty idyosh?","May I ask where you are going?","Questions & Answers"
"190","21","","","","","","","","Как ты думаешь, что мне купить?","Kak ty dumaesh, chto mne kupit?","What do you think I should buy?","Questions & Answers"
"191","22","","","","","","","","Это всё, что ты можешь сказать?","Eto vsyo, chto ty mozhesh skazat?","Is that all that you can say?","Fluency Builder 1"
"192","26","","","","","","","","Я слышал, ты хочешь меня видеть?","Ya slyshal, ty khochesh menya videt?","I hear you wanted to see me?","Thoughts, Needs & Feelings"
"193","27","","","","","","","","Ты думаешь, мы можем это сделать?","Ty dumaesh, my mozhem eto sdelat?","Do you think we can do it?","Thoughts, Needs & Feelings"
"194","28","","","","","","","","Вы знали, что можете это сделать?","Vy znali, chto mozhete eto sdelat?","Did you know you could do that?","Fluency Builder 1"
"195","29","","","","","","","","Что вам мешало вчера это сделать?","Chto vam meshalo vchera eto sdelat?","What kept you from doing it yesterday?","Time & Plans"
"196","33","","","","","","","","Сколько ещё я могу здесь оставаться?","Skolko eshchyo ya mogu zdes ostavatsya?","How much longer can I stay here?","Questions & Answers"
"197","1036","","","","","","","","Я был рад, что я там.","Ya byl rad, chto ya tam.","I was glad I was there.","Fluency Builder 3"
"198","1040","","","","","","","","Я думаю, вы оба их знаете.","Ya dumayu, vy oba ikh znaete.","I think you both know them.","Thoughts, Needs & Feelings"
"199","1043","","","","","","","","Он заметил, что я была там.","On zametil, chto ya byla tam.","He noticed that I was there.","Fluency Builder 3"
